Team At AtD HG LG PC CF Mo Ra DB SP RW RT LB SC
20
25;0 10 10;CAN'T CROSS ANY DEFENSE Sally_Port Rough_Terrain;8 11 9;9 3 10;2 0 0;;;1 1 2;0 2;0;0;0 1;0 0 0;2 2 1
22;2 2;CAN'T CROSS ANY DEFENSE;4 8;3 13;2 0;;;1 2;0;1;;0 2;0 0;2 0
9;15 10 10 20 0;Portcullis Rock_Wall Sally_Port;6 9 14 10 10;12 11 6 4 13;1 1;2 1 0;2 2 2;2 1;1 0 0 0;1;0 0;1 2 1;0 0 2 0 1;0 1 2 2 0
29;0 2 10 0;CAN'T CROSS ANY DEFENSE DrawBridge;11 10 4 5;14 6 10 14;2 0;1 2;1 1;0 2;0 1;2 0;1;2 2 2;1 2 0 2;2 1 1 2
30;0 2 0 20;CAN'T CROSS ANY DEFENSE Ramparts;7 11 5 14;0 4 2 8;2;0 1 2;1 0;1 2;0 0;2 0;;0 2 1 1;0 1 0 2;0 1 2 2
13;0 0 2;CAN'T CROSS ANY DEFENSE;5 7 5;3 13 1;1 0;2;1;2 1;1 0;1;2;0 0;1 1 2;2 1 1
19;20 10 2;Ramparts;4 1 9;2 6 11;;2 0 2;1 2 1;;2 1;2;1;0 1;2 0 2;0 1 1
3;10;CAN'T CROSS ANY DEFENSE;10;8;;2;0;;;0;0;;2;1
37;20 0 15 20 2 15 0;Moat Portcullis Cheval_De_Frise;12 1 6 13 3 6 5;14 0 3 3 0 14 3;1;1 1 1 1 2 1;1 2 2 1 2 2;2;1 0 1 2;2 2 2;1 2 2 0;1 0 1;0 2 0 2 1 2 0;1 0 2 0 1 2 2
15;20 15;Rock_Wall Portcullis;4 14;11 9;;0 2;0;2;;0 1;0;2;2 2;2 1
33;0 10 0 20;CAN'T CROSS ANY DEFENSE DrawBridge Cheval_De_Frise;4 12 2 13;14 12 14 6;1;1 1 2;0 0 1;1;0 0 0;2;2 0 2;2;2 1 0 1;2 0 1 1
20;0 0;CAN'T CROSS ANY DEFENSE;3 4;6 11;2;0;0;2;2;0;2 0;;0 1;0 1
11;15 0 10 20;Rock_Wall Moat Sally_Port;14 11 14 7;7 4 11 13;1 1 1 2;;1;1 1 0;2 2 2;2;0 1;0 2;0 0 1 0;1 0 1 2
0;2 10 15 2 0;CAN'T CROSS ANY DEFENSE Rough_Terrain Portcullis;3 10 11 13 1;11 5 5 13 2;1 0 0;2 1;1 1 2;2 1;2 1 2;2 0;1 0;2 2 0;0 0 0 2 1;1 1 1 0 2
4;15 10 2 15 0 10 20 20 20 10;Portcullis Sally_Port Rough_Terrain Low_Bar;3 2 12 4 9 10 12 14 13 10;1 9 1 9 14 7 12 3 5 12;1 2;1 2 0 0 0 1 0 1;2 0 0 2 2 1 2 1;2 1;1 1 0 2 2 2 1 0 0;0;0 0 1 1 2;0 2 2 2 0;0 2 2 2 1 1 2 2 0 2;1 0 0 2 0 0 0 0 0 1
23;10;Sally_Port;6;8;1;;2;;1;;2;;0;0
32;0 10 0;CAN'T CROSS ANY DEFENSE Sally_Port;6 6 1;14 2 4;0;0 2;2;0 2;0 1 0;;1 1;2;1 0 2;2 2 0
6;2 20 15;CAN'T CROSS ANY DEFENSE Sally_Port;4 13 4;12 0 1;1;1 1;0 2;0;1 0;2;0;1 1;2 1 0;2 0 0
36;0 15 15;CAN'T CROSS ANY DEFENSE Rock_Wall DrawBridge;5 5 2;4 0 5;2 0;1;1 0 2;;2;0 0;1 0;2;0 2 2;1 0 0
5;20 20 15 0 20;Rough_Terrain Rock_Wall Portcullis;9 1 5 6 12;6 8 11 3 0;2 2;2 1 1;2 2;0 2 0;0 1 0 0;0;0 2;1 0 0;0 0 2 2 0;2 1 2 0 1
12;10 2;CAN'T CROSS ANY DEFENSE;13 0;10 7;1;0;0 0;;2 1;;;0 0;2 0;2 0
16;20 20;Ramparts Portcullis;7 3;8 1;;0 2;;2 2;2 0;;1;2;2 2;0 0
39;0 20 20 2 15;CAN'T CROSS ANY DEFENSE Rough_Terrain Sally_Port DrawBridge;10 6 0 7 4;10 8 11 13 12;;1 1 2 1 0;0 2;2 1 0;1 1 1;2 1;1 2;0 0 2;1 1 2 2 0;0 1 0 2 1
18;0 15;CAN'T CROSS ANY DEFENSE Rock_Wall;8 10;4 1;2;0;0;0;1 0;;;1 0;1 1;0 0
1;0 0 10 15;CAN'T CROSS ANY DEFENSE Moat;2 11 7 3;10 7 12 5;1 2;1 0;1 2;2 2;1 2 1;0;2;0 0 2;1 0 2 0;0 0 0 0
31;15 20 15;Sally_Port Low_Bar Ramparts;0 11 5;8 0 7;2;0 1;2 2;2;0 0 0;;;2 1 0;0 2 0;2 2 1
10;10 2;Low_Bar;1 1;5 4;2;1;0;1;1 0;;;0 0;1 2;2 1
8;0 20;CAN'T CROSS ANY DEFENSE Portcullis;5 4;13 3;2;0;1;0;1;2;1;2;0 2;0 2
26;15 2 10;DrawBridge Low_Bar;1 5 11;7 0 2;2;2 0;2 0;1;;0 1 2;1 2;1;0 0 0;2 1 0
35;0;CAN'T CROSS ANY DEFENSE;0;12;;0;1;;;1;1;;0;2
24;2 20;CAN'T CROSS ANY DEFENSE Sally_Port;13 13;12 10;;0 1;1 0;;;1 0;2 2;;0 2;2 1
17;20 2;Portcullis;0 13;9 1;;0 1;0 2;;0 0;;0;1;1 1;1 0
14;10 20 0;Ramparts Rough_Terrain;8 12 14;5 14 6;2;1 0;0 2;1;2;1 2;1 1;1;0 1 0;2 0 0
27;2 2 10;CAN'T CROSS ANY DEFENSE Cheval_De_Frise;11 14 3;12 13 5;;2 2 1;0;0 1;1;2 1;;0 2 2;2 2 0;2 0 0
7;15;Sally_Port;6;13;;1;;2;;0;;1;1;1
2;2 0;CAN'T CROSS ANY DEFENSE;7 8;2 2;2;0;0;2;;2 1;2;1;0 2;1 1
21;10;Cheval_De_Frise;1;1;1;;;2;1;;;1;2;2
